Activity Master: Activity Master Number,Zone,Activity Code,Activity Name,Activity Name (Arabic),Status,Minimum Share Capital,License Type,License Type (Arabic),Is Not Allowed for Coworking(ESR),RAKEZ HSE Risk Classification,Compliance Risk Rating,Is Special,Activity Price,Activity Group,Activity Group (Arabic),Segment Name English,Segment Name Arabic,Description,Description (Arabic),Qualification Requirement,Documents Required
AM-05206,Non-Freezone,100990387,,تجارة الصقور والطيور الجارحة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,For Warehouse & Land: Ministry of Climate Change and Environment
AM-03253,Non-Freezone,100602202,.,استيراد سيارات الركاب,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,
AM-07286,Non-Freezone,2310015,.Fiber Glass Sanitary Ware Manfacturing,صناعة أدوات صحية من الألياف الزجاجي.,Inactive,"150,000",Industrial,صنــــــــاعيـــة,-,,,Standard,,Industrial,صنــــــــاعيـــة,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-01251,Non-Freezone,7912006,.Organize educational and recreational trips,تنظيم الرحلات التربوية والترفيهية,Inactive,,Professional,مهنية,-,,,Standard,,Tourism,سياحية,,,,,,Tourism Development Authority
AM-01271,Non-Freezone,5610009,.Toursit Restaurant,مطعم سـياحي,Inactive,,Professional,مهنية,-,,,Standard,,Tourism,سياحية,,,,,,"Tourism Development Authority, RAK Municipality- Public Health Department"
AM-01131,Non-Freezone,4741011,'Retai sale of Mobile Phones,بيع الهواتف المتحركة - بالتجزئة,Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 2,تجاريــــــــة 2,,,,,,
AM-01689,Non-Freezone,4520022,(Agencies) Cars Multi-specialization Maintenance Workshop,ورش صيانة السيارات متعددة التخصصات ( وكالات ),Inactive,,Professional,مهنية,-,,,Standard,,Professional 2,مهنيــــــــــة 2,,,,,,
AM-01938,Non-Freezone,7310016,(Agency)Newspapers and Publications Distribution,توزيع الصحف والمطبوعات ( وكالة ),Inactive,,Commercial,تجارية,-,,,Standard,,Commercial 1,تجاريــــــــة 1,,,,,,Media Regulatory Office / Ministry of Culture & Youth
AM-07077,Non-Freezone,1104903,(Alcherp) mobilization of honey and drink Center,تعبئة العسل والشراب المركز (الشيرة),Inactive,"150,000",Industrial,صنــــــــاعيـــة,-,,,Standard,,Industrial,صنــــــــاعيـــة,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority, RAK Municipality-Public Health Department"
AM-03782,Non-Freezone,1104903,(Alcherp) mobilization of honey and drink Center,تعبئة العسل والشراب المركز (الشيرة),Inactive,,Industrial,صناعية,-,,,Standard,,Industrial 2,صناعيـــــــة 2,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority, RAK Municipality-Public Health Department"
